combinaisons,nom,nomcourt,nbrepetitions,plateforme,dispositifs,protocoles,uri
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.133'],18_16,134,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.133
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.134'],13_21,135,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.134
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.135'],26_11,136,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.135
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.136'],27_15,137,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.136
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.137'],16_15,138,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.137
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.138'],32_11,139,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.138
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.139'],1_7,140,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.139
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.140'],18_17,141,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.140
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.141'],6_12,142,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.141
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.142'],13_24,143,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.142
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.143'],2_9,144,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.143
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.144'],14_29,145,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.144
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.145'],4_25,146,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.145
